id	field	old	new	note
int_1161	solution	\left(\frac{1}{3}t^{3}+\frac{3}{2}t^{2} \right)\mathrm{d}t =\left. \left(\frac{1}{12}t^{4}+\frac{1}{2}t^{3} \right) \right|_{0}^{6} =216\,\mathrm{m}$	\left(10+\frac{1}{3}t^{3}+\frac{3}{2}t^{2} \right)\mathrm{d}t =\left. \left(10t+\frac{1}{12}t^{4}+\frac{1}{2}t^{3} \right) \right|_{0}^{6} =276\,\mathrm{m}$	S=60+216=276 m (C)
int_1419	question	có hệ số của x6 là	có hệ số của $x^{6}$ là	số mũ bị mất định dạng
int_0094	choice:A	\cos 4x	\sin 4x	bốn phương án gõ cos 4x thay cho sin 4x; nguyên hàm của cos²2x là x/2 + sin4x/8 + C
int_0094	choice:B	\cos 4x	\sin 4x	bốn phương án gõ cos 4x thay cho sin 4x; nguyên hàm của cos²2x là x/2 + sin4x/8 + C
int_0094	choice:C	\cos 4x	\sin 4x	bốn phương án gõ cos 4x thay cho sin 4x; nguyên hàm của cos²2x là x/2 + sin4x/8 + C
int_0094	choice:D	\cos 4x	\sin 4x	bốn phương án gõ cos 4x thay cho sin 4x; nguyên hàm của cos²2x là x/2 + sin4x/8 + C
int_0107	solution	\int \cos 3x.cos.dx=\frac{1}{2}\int \left(\cos 2x+cos4x \right)dx	\int \cos 3x.\cos x\,dx=\frac{1}{2}\int \left(\cos 2x+\cos 4x \right)dx	lỗi gõ
int_0107	solution	Vậy $F\left(x \right)=\frac{\cos 4x}{8}+\frac{\cos 2x}{4}$	Vậy $F\left(x \right)=\frac{\sin 4x}{8}+\frac{\sin 2x}{4}$	kết luận chép nhầm cos; đúng là phương án B
int_0429	choice:C	\left(a-1 \right)\left(b-1 \right)	\left(a-b \right)\left(b-1 \right)	phương án C gõ (a−1) thay cho (a−b), lời giải ra (a−b)(b−1)
int_0429	solution	 \Leftrightarrow k=1$	$	bỏ đoạn "⇔ k=1" của câu khác
int_0353	question	$a=2,b=-3 I_{1}=	$I_{1}=	đề dính rác "a=2,b=-3"
int_0402	question	$z+\left| z \right|^{2}.i-1-\frac{3}{4}i=0$	$c$	ô công thức "c" bị thay bằng phương trình số phức của câu khác
int_0402	solution	\sin x\mathrm{d}x 4 =	\sin x\mathrm{d}x =	số 4 thừa
int_0826	question	f\left(0 \right).f\left(2018-x \right)=1	f\left(x \right).f\left(2018-x \right)=1	đề ghi f(0) thay cho f(x)
int_0826	choice:D	D. $4016$	D. $I=4016$	thống nhất cách ghi với các phương án khác
int_1224	choice:C	2<\max f(x)_{x\in\left[2;4 \right]}>3	2<\max f(x)_{x\in\left[2;4 \right]}<3	dấu ">" gõ nhầm; f(4)=e^{(2√13−4)/3}≈2,92
int_1159	solution	$\left(P \right)$. Khi xe dừng	Khi xe dừng	chữ rác "(P)."
int_1159	solution	Quãng đường xe đi đường từ	Quãng đường xe đi được từ	lỗi gõ
int_1159	solution	$\Rightarrow M\left(\frac{1}{6}+t;\frac{5}{6}+t;\frac{13}{6}+t \right) =\int	$S=\int	công thức rác của câu khác thay cho "S"
int_0539	question	\int\limits_{-1}^{\frac{1}{2}}	\int\limits_{\frac{1}{2}}^{\frac{7}{2}}	cận trong đề khác lời giải; với cận −1 tích phân suy rộng. Lời giải và đáp án theo cận 1/2..7/2
int_0560	question	\int\limits_{0}^{\frac{\pi}{4}}	\int\limits_{\frac{\pi}{3}}^{\frac{\pi}{2}}	cận trong đề khác lời giải và các phương án (cận 0 làm tích phân phân kỳ)
int_0560	solution	I=\int\limits_{\frac{\pi}{3}}^{\frac{\pi}{4}}	I=\int\limits_{\frac{\pi}{3}}^{\frac{\pi}{2}}	cận trên gõ nhầm
int_0409	question	bx\sin +c\sin 2x	bx+c\sin 2x	chữ "sin" thừa
int_0409	question	\right|_{0}^{\frac{\pi}{6}}	\right|_{0}^{\frac{\pi}{3}}	cận trên phải là π/3 như tích phân
int_0409	solution	3a+2c+4c=1	3a+2b+4c=1	lỗi gõ
int_0395	question	được viết ở dạng $a$, $b\in\mathbb{Z}$	được viết ở dạng $\pi\left(\frac{\pi}{a}-\frac{1}{b} \right)-1$ với $a$, $b\in\mathbb{Z}$	đề thiếu dạng kết quả; lời giải viết π(π/4−1/2)−1
int_1193	choice:D	D. $F(x)$	D. $\frac{\ln ^{4}x}{4}$	phương án D (đáp án) bị thay bằng chữ "F(x)"; nguyên hàm của ln³x/x là ln⁴x/4
int_0750	question	liên tục trên thỏa mãn	liên tục trên $\mathbb{R}$ thỏa mãn	thiếu ℝ
int_0750	solution	Đề ban đầu bị sai vì khi thay $x=0$ và $x=2$ vào ta thấy mâu thuẫn nên tôi đã sửa lại đề⏎⏎		bỏ dòng ghi chú của người soạn ("Đề ban đầu bị sai… nên tôi đã sửa lại đề")
int_0750	solution	và $\int\limits_{0}^{2} 4\mathrm{d}x=8$.	và $\int\limits_{0}^{2} 4\mathrm{d}x=8$.⏎Suy ra $4\int\limits_{0}^{2} f\left(x \right)\mathrm{d}x=8\Leftrightarrow\int\limits_{0}^{2} f\left(x \right)\mathrm{d}x=2$.	câu kết luận bị tách sang đầu đề câu sau (int_0751)
int_0075	solution	Câu 76. Cho $F\left(x \right)$ là một nguyên hàm của hàm số $f\left(x \right)=\frac{1}{2x+1}$, biết $F\left(0 \right)=1$. Giá trị của $F\left(-2 \right)$ bằng⏎A. $1+\frac{1}{2}\ln 3$. B. $1+\frac{1}{2}\ln 5$. C. $1+\ln 3$. D. $\frac{1}{2}\left(1+\ln 3 \right)$.⏎Chọn A. Ta có $F\left(x \right)=\int f\left(x \right)\mathrm{d}x=\int \frac{\mathrm{d}x}{2x+1}=\frac{1}{2}\ln \left| 2x+1 \right|+C$.⏎$F\left(0 \right)=1\Leftrightarrow\frac{1}{2}\ln 1+C=1\Leftrightarrow C=1\Rightarrow F\left(x \right)=\frac{1}{2}\ln \left| 2x+1 \right|+1\Rightarrow F\left(-2 \right)=1+\frac{1}{2}\ln 3$.		bỏ câu 76 bị gộp vào cuối lời giải
int_0338	question	Nhận xét: Không thể dùng máy tính để tính ra kết quả như trên mà ta chỉ có thể dùng để kiểm tra mà 		bỏ câu nhận xét của lời giải câu trước dính vào đầu đề
int_0416	question	$\Leftrightarrow\int\limits_{-\frac{3\pi}{2}}^{\frac{3\pi}{2}} f\left(x \right)\mathrm{d}x=6$.		bỏ công thức của câu khác dính vào đầu đề
int_0702	solution	 \int\limits_{0}^{4} f\left(x \right)\mathrm{d}x=16$	=2x.\cos x$.	bỏ công thức của câu sau dính vào cuối; G'(x)=2x.cos x (x>0)
int_0751	question	Suy ra $4\int\limits_{0}^{2} f\left(x \right)\mathrm{d}x=8\Leftrightarrow\int\limits_{0}^{2} f\left(x \right)\mathrm{d}x=2$. 		bỏ câu kết luận của câu trước (int_0750) dính vào đầu đề
int_1394	solution	Câu 7 Cho tích phân $I_{n+1}=\int\limits_{0}^{1} x^{n+1}e^{x}dx$. Dùng phương pháp tích phân từng phần đặt $u=x^{n+1}$ và $dv=e^{x}dx$, hệ thức liên hệ giữa $I_{n+1}$ và $I_{n}$ là⏎A. $I_{n+1}+I_{n}=e$ B. $I_{n+1}+(n+1)I_{n}=e$⏎C. $I_{n+1}+nI_{n}=e$ D. $I_{n+1}-nI_{n}=e$		lời giải là toàn bộ câu 7 của đề (bị gộp); câu này không có lời giải
