id	level	topic	flag	answer	note
mh24-01-04		HS.CT	duplicate:mh24-13-04		cùng đề với mh24-13-04 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-05		HS.CT	duplicate:mh24-13-05		cùng đề với mh24-13-05 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-06		HS.CT	duplicate:mh24-13-06		cùng đề với mh24-13-06 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-07		HS.CT	duplicate:mh24-13-07		cùng đề với mh24-13-07 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-08		HS.MM	duplicate:mh24-13-08		cùng đề với mh24-13-08 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-09		HS.MM	duplicate:mh24-13-09		cùng đề với mh24-13-09 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-10		HS.TC	duplicate:mh24-13-10		cùng đề với mh24-13-10 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-11		HS.TC	duplicate:mh24-13-11		cùng đề với mh24-13-11 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-12		HS.TC	duplicate:mh24-13-12		cùng đề với mh24-13-12 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-13		HS.DT	duplicate:mh24-13-13		cùng đề với mh24-13-13 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-14		HS.DT	duplicate:mh24-13-14		cùng đề với mh24-13-14 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-16		ML.LT	duplicate:mh24-13-16		cùng đề với mh24-13-16 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-17		ML.LT	duplicate:mh24-13-17		cùng đề với mh24-13-17 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-18		ML.LT	duplicate:mh24-13-18		cùng đề với mh24-13-18 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-19		ML.HS	duplicate:mh24-13-19		cùng đề với mh24-13-19 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-20		ML.HS	duplicate:mh24-13-20		cùng đề với mh24-13-20 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-21		ML.HS	duplicate:mh24-13-21		cùng đề với mh24-13-21 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-22		ML.PT	duplicate:mh24-13-22		cùng đề với mh24-13-22 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-23		ML.PT	duplicate:mh24-13-23		cùng đề với mh24-13-23 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-24		ML.PT	duplicate:mh24-13-24		cùng đề với mh24-13-24 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-25		ML.PT	duplicate:mh24-13-25		cùng đề với mh24-13-25 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-26		ML.BPT	duplicate:mh24-13-26		cùng đề với mh24-13-26 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-27		ML.BPT	duplicate:mh24-13-27		cùng đề với mh24-13-27 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-28		KD.KN	duplicate:mh24-13-28		cùng đề với mh24-13-28 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-29		KD.KN	duplicate:mh24-13-29		cùng đề với mh24-13-29 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-30		KD.TT	duplicate:mh24-13-30		cùng đề với mh24-13-30 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-31		KD.TT	duplicate:mh24-13-31		cùng đề với mh24-13-31 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-32		KD.TT	duplicate:mh24-13-32		cùng đề với mh24-13-32 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-33		KD.TT	duplicate:mh24-13-33		cùng đề với mh24-13-33 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-35		TX.NON	duplicate:mh24-13-35		cùng đề với mh24-13-35 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-37		TX.TRU	duplicate:mh24-13-37		cùng đề với mh24-13-37 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-38		TX.TRU	duplicate:mh24-13-38		cùng đề với mh24-13-38 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-39		HS.DB	duplicate:mh24-13-39		cùng đề với mh24-13-39 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-40		HS.CT	duplicate:mh24-13-40		cùng đề với mh24-13-40 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-41		HS.MM	duplicate:mh24-13-41		cùng đề với mh24-13-41 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-42		HS.DT	duplicate:mh24-13-42		cùng đề với mh24-13-42 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-43		HS.TG	duplicate:mh24-13-43		cùng đề với mh24-13-43 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-44		ML.PT	duplicate:mh24-13-44		cùng đề với mh24-13-44 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-45		TX.NON	duplicate:mh24-13-45		cùng đề với mh24-13-45 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-46		ML.PT	duplicate:mh24-13-46		cùng đề với mh24-13-46 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-47		ML.PT	duplicate:mh24-13-47		cùng đề với mh24-13-47 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-48		ML.BPT	duplicate:mh24-13-48		cùng đề với mh24-13-48 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-49		KD.TT	duplicate:mh24-13-49		cùng đề với mh24-13-49 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-01-50		KD.TT	duplicate:mh24-13-50		cùng đề với mh24-13-50 (đề 13 xáo phương án, lời giải đầy đủ hơn); đề 1 luôn đặt đáp án ở A
mh24-02-01	TH	ML.LT			
mh24-02-02	VD	HS.DB			
mh24-02-03	TH	HS.MM			
mh24-02-04		HS.TG			
mh24-02-05	TH	HK.KC			
mh24-02-06	NB	ML.PT			
mh24-02-07	NB	ML.HS			
mh24-02-08	TH	ML.PT			
mh24-02-09		HK.KC	source_corrupted		các phương án (S=43/6, S=7...) thuộc câu khác, không khớp đề hỏi khoảng cách
mh24-02-10	TH	HK.GOC	figure_optional,duplicate:mh24-17-36		cùng bài với mh24-17-36 (bản đề 02 còn chữ "tham khảo hình vẽ" dù hình đã bỏ)
mh24-02-11		HS.CT			
mh24-02-12	VD	HK.KC			
mh24-02-13	VDC	KD.TT			
mh24-02-14	NB	DS.CSN			
mh24-02-15	NB	KD.TT			
mh24-02-16	TH	KD.TT			
mh24-02-17	TH	HK.GOC			
mh24-02-18	TH	ML.HS			
mh24-02-19	VD	KD.TT			
mh24-02-20	TH	ML.HS			
mh24-02-21	TH	HS.CT			
mh24-02-22	NB	XS.TH			
mh24-02-23	NB	HS.TC			
mh24-02-24	NB	XS.TH			
mh24-02-25	NB	ML.PT			
mh24-02-26		HS.CT			
mh24-02-27	NB	KD.TT			
mh24-02-28		HS.CT			
mh24-02-29		ML.BPT	source_corrupted		lời giải ra 12 cặp, không có trong các phương án
mh24-02-30	NB	KD.TT			
mh24-02-31	NB	KD.TT			
mh24-02-32	TH	XS.CD			
mh24-02-33	NB	ML.LT		C	bản gốc: dấu * đặt ở A nhưng A sai; đáp án đúng là C (lời giải cũng ra C)
mh24-02-34	TH	HS.CT			
mh24-02-35	NB	KD.TT			
mh24-02-36	NB	KD.TT			
mh24-02-37		HS.TG			
mh24-02-38	TH	HS.TC			
mh24-02-39	TH	ML.HS			
mh24-02-40		DS.CSC			phương án B và C in giống nhau
mh24-02-41	VD	HS.MM			
mh24-02-42	VD	KD.TT			
mh24-02-43		HS.TG			
mh24-02-44		HS.TG			
mh24-02-45	TH	ML.HS			
mh24-02-46		HS.DB			
mh24-02-47	TH	ML.PT			
mh24-02-48		HS.DB			
mh24-02-49		HS.DB			
mh24-02-50	VDC	HS.DB			
mh24-03-01		HS.TG			
mh24-03-02	NB	KD.TT			
mh24-03-03	TH	HS.DB			
mh24-03-04		HS.CT			
mh24-03-05		HS.DB			
mh24-03-06	NB	KD.TT			
mh24-03-07	TH	ML.HS			
mh24-03-08	TH	KD.TT			
mh24-03-09		HS.MM			
mh24-03-10	TH	ML.LT			
mh24-03-11		HS.DT			
mh24-03-12	NB	KD.TT			
mh24-03-13		HS.MM			
mh24-03-14		HS.CT			
mh24-03-15		HS.TG			
mh24-03-16		HS.DT			
mh24-03-17	NB	HS.TC			
mh24-03-18	TH	KD.TT			
mh24-03-19	NB	KD.TT			
mh24-03-20	TH	KD.TT			
mh24-03-21	TH	HS.MM			
mh24-03-22		HS.TG			
mh24-03-23	TH	KD.TT			
mh24-03-24		HS.DT			
mh24-03-25	TH	KD.TT			
mh24-03-26		HS.TC			
mh24-03-27	NB	KD.TT			
mh24-03-28		KD.TT	source_corrupted		đề in thiếu chữ: "góc giữa đường thẳng A'" (lời giải dùng AC')
mh24-03-29	TH	ML.HS			
mh24-03-30	TH	KD.TT			
mh24-03-31	NB	KD.KN			
mh24-03-32		HS.CT			
mh24-03-33	TH	HS.DB			
mh24-03-34	TH	HS.DB			
mh24-03-35	TH	KD.TT			
mh24-03-36	TH	ML.LT			
mh24-03-37		HS.TC			
mh24-03-38	TH	KD.TT			
mh24-03-39	VD	KD.TT			
mh24-03-40		KD.TT			
mh24-03-41		ML.TT	solution_wrong		phương trình trong lời giải cho 883,2 USD, không khớp đáp án B (885,4 USD là kết quả đúng của bài trả góp)
mh24-03-42	VDC	HS.DB			
mh24-03-43		HS.MM	source_corrupted		đề mất điều kiện (công thức sau chữ "để" bị mất)
mh24-03-44		HS.CT			
mh24-03-45		HS.DB			
mh24-03-46		KD.TT			
mh24-03-47		HS.TG			
mh24-03-48		HS.TG			
mh24-03-49		HS.CT			
mh24-03-50		HS.MM			
mh24-04-01		HS.DB			
mh24-04-02	NB	ML.BPT			
mh24-04-03	TH	TX.CAU			
mh24-04-04	NB	ML.HS			
mh24-04-05	TH	HS.MM			
mh24-04-06	TH	HK.KC	figure_optional		
mh24-04-07	NB	ML.LT			
mh24-04-08	TH	ML.PT			
mh24-04-09	NB	DS.CSC			
mh24-04-10	NB	KD.KN			
mh24-04-11	TH	KD.TT			
mh24-04-12	NB	ML.HS			
mh24-04-13	TH	ML.HS			
mh24-04-14	TH	ML.LT			
mh24-04-15	TH	HK.GOC	figure_optional		
mh24-04-16		HS.DT			
mh24-04-17		ML.HS			
mh24-04-18	VD	TX.TRU	figure_optional	C	bản gốc: đáp án đúng là C (20π/3 = khối trụ 4π + khối nón 8π/3); lời giải quên bình phương bán kính khối nón
mh24-04-19		HS.CT			
mh24-04-20	TH	XS.TH		C	bản gốc: đề hỏi số hạng chứa x^12 nên đáp án là 45x^12 (C); dấu * đặt ở A là hệ số
mh24-04-21		HS.MM			
mh24-04-22	TH	KD.TT		A	bản gốc: tứ diện SABC có thể tích bằng nửa khối chóp S.ABCD: a^3√14/12 (A); dấu * ở C là thể tích S.ABCD
mh24-04-23	VD	HS.CT			
mh24-04-24	TH	HS.CT			
mh24-04-25	NB	HS.TC			
mh24-04-26	TH	ML.LT			
mh24-04-27	NB	DS.CSN			
mh24-04-28	NB	TX.TRU			
mh24-04-29		HS.TG			
mh24-04-30		HS.CT			
mh24-04-31	TH	HK.GOC			
mh24-04-32	TH	HS.CT			
mh24-04-33	NB	TX.NON			
mh24-04-34	TH	HK.KC	figure_optional		
mh24-04-35	NB	XS.TH			
mh24-04-36	TH	KD.TT			
mh24-04-37	NB	HS.DB			
mh24-04-38	VD	HS.DB			
mh24-04-39	VD	TX.TRU	figure_optional		
mh24-04-40		HS.TG			
mh24-04-41		HS.CT			
mh24-04-42	VD	KD.TT			
mh24-04-43	VD	ML.BPT			
mh24-04-44		HS.DT			
mh24-04-45	VD	ML.BPT			
mh24-04-46	VD	HS.DB			
mh24-04-47	VDC	ML.BPT			
mh24-04-48	VD	HK.KC	figure_optional		
mh24-04-49	VDC	KD.TT			
mh24-04-50	VDC	ML.PT			
mh24-05-01		HS.DB			
mh24-05-02	TH	HS.DB			
mh24-05-03	VD	HS.TC			
mh24-05-04		HS.TC			
mh24-05-05	TH	KD.TT			
mh24-05-06	VD	HK.GOC	figure_optional		
mh24-05-07	TH	HS.DB			
mh24-05-08		HS.DB			
mh24-05-09	VD	HS.TC			
mh24-05-10		HS.DT			
mh24-05-11	NB	KD.TT			
mh24-05-12	TH	KD.TT			
mh24-05-13	TH	HS.DB			
mh24-05-14	TH	HS.DB			
mh24-05-15		HS.DT			
mh24-05-16	NB	HS.DT			
mh24-05-17	VD	HK.KC			
mh24-05-18	NB	KD.TT			
mh24-05-19		HS.DB			
mh24-05-20	VD	HS.DB			
mh24-05-21		HS.DT			
mh24-05-22		HS.TG			
mh24-05-23	NB	KD.TT			
mh24-05-24	TH	KD.TT			
mh24-05-25		HS.CT			
mh24-05-26		HS.CT			
mh24-05-27	TH	HS.TG			
mh24-05-28	TH	HS.TG			
mh24-05-29	NB	KD.KN			
mh24-05-30	NB	KD.TT			
mh24-05-31		HS.CT			
mh24-05-32	TH	HS.CT			
mh24-05-33		KD.KN			
mh24-05-34	TH	KD.KN			
mh24-05-35		HS.MM			
mh24-05-36	NB	HS.TC			
mh24-05-37		HS.CT			
mh24-05-38	TH	HS.CT			
mh24-05-39	VD	HS.TT			
mh24-05-40	VD	HS.TT			
mh24-05-41	TH	HS.MM			
mh24-05-42		HS.MM			
mh24-05-43		HS.CT			
mh24-05-44		HS.CT			
mh24-05-45	TH	HS.MM			
mh24-05-46	VD	HS.MM			
mh24-05-47		HS.CT			
mh24-05-48	TH	HS.MM			
mh24-05-49	VD	HS.TG	figure_optional		
mh24-05-50	TH	HS.TT			
mh24-06-01	NB	HS.TC			
mh24-06-02	NB	ML.BPT			
mh24-06-03	NB	TX.TRU			
mh24-06-04	NB	ML.PT			
mh24-06-05	NB	TX.CAU			
mh24-06-06		HS.DB			
mh24-06-07	NB	ML.LT			
mh24-06-08		HS.DT	source_corrupted		lời giải là của câu khác (bất phương trình mũ – logarit)
mh24-06-09	TH	TX.NON			
mh24-06-10		HS.DT			
mh24-06-11	NB	XS.TH			
mh24-06-12	NB	DS.CSN			
mh24-06-13	NB	NH			
mh24-06-14	NB	TP			
mh24-06-15	NB	KD.TT			
mh24-06-16		HS.CT			
mh24-06-17	NB	ML.LT			
mh24-06-19	NB	ML.BPT			
mh24-06-20	TH	HS.CT			
mh24-06-21		HS.DB			
mh24-06-22		TP	source_corrupted		đề mất công thức tích phân cần tính ("Giá trị của bằng")
mh24-06-23	NB	ML.LT			
mh24-06-24	VD	TX.NON			
mh24-06-25	TH	TX.TRU			
mh24-06-26	VD	HK.KC	figure_optional		
mh24-06-27	NB	ML.HS			
mh24-06-28		HS.CT			
mh24-06-29	VD	KD.TT			
mh24-06-30	TH	HS.CT			
mh24-06-31	TH	HS.TG			
mh24-06-32	VD	HK.GOC	figure_optional		
mh24-06-33		KD.TT	duplicate:mh24-05-18		cùng đề với mh24-05-18, chỉ đổi thứ tự phương án
mh24-06-34	TH	ML.PT			
mh24-06-35	NB	TP			
mh24-06-36	NB	KD.TT	duplicate:mh24-02-35		cùng bài với mh24-02-35 (cùng hỏi công thức thể tích khối lăng trụ)
mh24-06-37		HS.TG			
mh24-06-38	VD	XS.CD			
mh24-06-39	TH	TP			
mh24-06-40	VD	ML.TT			
mh24-06-41	VD	TP			
mh24-06-42	VD	HS.CT			
mh24-06-43	NB	NH			
mh24-06-44	VD	HS.MM			
mh24-06-45	TH	TP			
mh24-06-46	VDC	ML.PT			
mh24-06-47	VDC	TP.HA			
mh24-06-48	VDC	ML.PT			
mh24-06-49	VD	HS.DB			
mh24-06-50	TH	TP			
mh24-07-02	TH	DS.CSN			
mh24-07-03	TH	HS.DB			
mh24-07-04	TH	HS.MM			
mh24-07-05		TX.NON	source_corrupted		cuối lời giải dính chữ rác từ khung chữ của một hình khác ("x(cm)1t(10-2 s)x1x2O3...")
mh24-07-06	TH	TX.TRU			
mh24-07-07	NB	DS.CSC			
mh24-07-08	VD	HS.CT			
mh24-07-10		HS.TG			
mh24-07-11	TH	HS.MM			
mh24-07-12	TH	OX.TD			
mh24-07-13	NB	HS.TC			
mh24-07-14	NB	TX.CAU			
mh24-07-15	NB	ML.PT			
mh24-07-16	TH	ML.LT			
mh24-07-17	TH	ML.HS			
mh24-07-19		HS.DT			
mh24-07-20	TH	ML.LT			
mh24-07-21	TH	KD.TT			
mh24-07-22	TH	HS.CT			
mh24-07-23	TH	ML.TT			
mh24-07-26	NB	TX.TRU			
mh24-07-27		HS.DT			
mh24-07-28		HS.CT			
mh24-07-29	TH	HS.TC			
mh24-07-30	NB	TX.NON			
mh24-07-32	NB	ML.HS			
mh24-07-33	TH	ML.TT			
mh24-07-35	TH	ML.PT			
mh24-07-36	VD	ML.PT			
mh24-07-37		ML.HS			
mh24-07-38	VD	TX.CAU			
mh24-07-39	VD	ML.BPT			
mh24-07-40	VD	OX.MC			
mh24-07-43	VD	XS.CD			
mh24-07-44	VD	TX.NON			
mh24-07-45		HS.TC			
mh24-07-46	VD	HS.DB			
mh24-07-47	VD	HS.MM			
mh24-07-48		KD.TT	solution_wrong		lời giải ra 4√3/3 (không có trong phương án); trường hợp góc AO'C bằng 60° mới cho 4√3 (C)
mh24-07-49	VDC	ML.PT			
mh24-07-50		HS.DB			
mh24-08-01	NB	DS.CSC			
mh24-08-02	NB	XS.TH			
mh24-08-03	TH	HS.DB			
mh24-08-04		HS.TC			
mh24-08-05	TH	XS.CD			
mh24-08-06	NB	KD.TT			
mh24-08-07		HS.TC			
mh24-08-08	TH	HK.KC			
mh24-08-09	TH	HK.GOC			
mh24-08-10		HS.DT			
mh24-08-11	TH	HS.CT			
mh24-08-12		HS.TG			
mh24-08-13	TH	KD.TT			
mh24-08-14	TH	KD.TT			
mh24-08-15		HS.DT			
mh24-08-16		HS.TG			
mh24-08-17	TH	HS.CT			
mh24-08-18	TH	KD.TT			
mh24-08-19	TH	HS.DB			
mh24-08-20	NB	KD.KN			
mh24-08-21	TH	HS.MM			
mh24-08-22		HS.CT			
mh24-08-23	VD	HK.KC			
mh24-08-24	TH	KD.KN			
mh24-08-25	NB	HS.TC			
mh24-08-28	TH	HS.TT			
mh24-08-29	TH	HK.KC			
mh24-08-30		HS.DT			
mh24-08-31	NB	HS.DT			
mh24-08-32		HS.MM			
mh24-08-33	TH	HK.GOC			
mh24-08-34	NB	KD.TT			
mh24-08-35	TH	DS.CSN			
mh24-08-36		HS.DT			
mh24-08-37	TH	KD.TT			
mh24-08-38	TH	HS.DB			
mh24-08-39	TH	HS.MM			
mh24-08-41	VD	KD.TT			
mh24-08-44	VD	HS.MM			
mh24-08-45	VD	HS.DB			
mh24-08-46	VD	KD.TT	figure_optional		
mh24-08-48	VD	HS.TG			
mh24-08-49		HS.MM			
mh24-08-50	VD	HS.CT			
mh24-09-03		HS.DT			
mh24-09-06	NB	ML.LT			
mh24-09-07	TH	ML.HS			
mh24-09-09		HS.DT			
mh24-09-10		HS.DB			
mh24-09-11	NB	ML.LT			
mh24-09-12		HS.TG			
mh24-09-13		HS.DT			
mh24-09-14		HS.TG			
mh24-09-15	NB	KD.TT			
mh24-09-16	NB	DS.CSC			
mh24-09-17		HS.DB	solution_trivial		lời giải chỉ nhắc lại đáp án, không có lập luận
mh24-09-18	NB	HS.TC			
mh24-09-19	TH	HS.MM			
mh24-09-20		HS.DT			
mh24-09-22	TH	KD.TT			
mh24-09-23	NB	ML.HS			
mh24-09-24	NB	KD.TT			
mh24-09-25	NB	KD.TT			
mh24-09-26	TH	HK.GOC			
mh24-09-27	TH	XS.CD			
mh24-09-28	VD	HK.KC			
mh24-09-29	TH	HS.CT			
mh24-09-30		HS.DT			
mh24-09-31	TH	ML.HS			
mh24-09-32	TH	KD.TT			
mh24-09-33	NB	ML.LT			
mh24-09-34	TH	HS.MM			
mh24-09-35	NB	KD.TT			
mh24-09-38	VD	KD.TT			
mh24-09-39	VD	HS.TC			
mh24-09-40	VD	HK.KC			
mh24-09-41	VDC	HS.TG			
mh24-09-42	VD	ML.LT			
mh24-09-43	VD	KD.TT			
mh24-09-49	VD	ML.HS			
mh24-09-50	VDC	ML.HS			
mh24-10-01	TH	ML.LT			
mh24-10-02	NB	TX.CAU			
mh24-10-03	TH	ML.LT			
mh24-10-05	TH	HK.KC			
mh24-10-07	TH	HS.CT			
mh24-10-08	TH	TX.TRU			
mh24-10-09	VD	ML.PT			
mh24-10-10	VD	KD.TT			
mh24-10-14	VDC	HK.KC			
mh24-10-15	VD	HS.DB			
mh24-10-16	NB	HS.TC			
mh24-10-17	TH	ML.LT			
mh24-10-18	TH	ML.PT			
mh24-10-19	TH	KD.TT	duplicate:mh24-08-14		cùng bài với mh24-08-14 (khác cách viết)
mh24-10-20	TH	HS.CT			
mh24-10-21	VD	TX.NON			
mh24-10-22	TH	KD.TT			
mh24-10-23	TH	ML.HS			
mh24-10-24	VD	HS.MM			
mh24-10-25	VD	TX.TRU			
mh24-10-26	TH	ML.LT			
mh24-10-27		ML.HS			
mh24-10-28	TH	ML.PT			
mh24-10-29	TH	KD.TT			
mh24-10-30		HS.DT			
mh24-10-31	VD	HS.CT			
mh24-10-32	NB	KD.KN			
mh24-10-33	TH	TX.CAU			
mh24-10-36	TH	HS.DB			
mh24-10-38	VDC	ML.PT			
mh24-10-39		HS.CT	solution_trivial		lời giải chỉ ghi "Casio ta có" rồi nêu kết quả, không có lập luận
mh24-10-40		HS.DB			
mh24-10-41	TH	HS.DB			
mh24-10-42	NB	TX.NON			
mh24-10-43	TH	ML.LT			
