id	field	old	new	note
mh24-19-27	solution	Ta có $S=4\pi R^{2}$.	Ta có $S=4\pi\left(2R \right)^{2}=16\pi R^{2}$.	lời giải lấy nhầm bán kính R thay vì 2R; đáp án đúng C
mh24-21-27	solution	Vậy hàm số đồng biến trên $\left(1;+\infty \right)$	Ta có $y'>0\Leftrightarrow-4x\left(x^{2}-1 \right)>0\Leftrightarrow\left[\begin{array}{l} x<-1 \\ 0<x<1 \end{array} \right.$⏎Vậy hàm số đồng biến trên $\left(0;1 \right)$	lời giải kết luận (1;+∞) là khoảng nghịch biến; đáp án đúng C
mh24-21-29	solution	$V=\pi a^{2}.2a=2\pi a^{3}$	$V=\pi a^{2}.4a=4\pi a^{3}$	chiều cao là 4a; đáp án đúng A
mh24-21-29	question	Cho hình chữ nhật ABCDcó	Cho hình chữ nhật ABCD có	thiếu dấu cách
mh24-21-29	question	quanh trục MNbằng	quanh trục MN bằng	thiếu dấu cách
mh24-21-43	solution	Đặt $t=\log _{3}\cos ^{2}x$⇒t<0, khi đó	Đặt $t=\log _{3}\cos ^{2}x$ thì $t\le0$ ($t=0$ khi $\cos ^{2}x=1$), khi đó	t có thể bằng 0 khi cos x=±1
mh24-21-43	solution	vô nghiệm với t<0.	vô nghiệm với $t\le0$.	t có thể bằng 0
mh24-21-43	solution	vô nghiệm thì $2^{-m^{2}+6m}\ge1\Leftrightarrow-m^{2}+6m\ge0\Leftrightarrow0\le m\le6$.	vô nghiệm thì $2^{-m^{2}+6m}$ nằm ngoài tập giá trị của $g$ trên $\left(-\infty;0 \right]$. Ta có $g\left(t \right)\le12^{t}\le1$ với mọi $t\le0$ (vì $4^{t}\le3^{t}$), $g\left(-1 \right)=0$, $g\left(0 \right)=1$ nên phương trình có nghiệm khi $0<2^{-m^{2}+6m}\le1$.⏎Do đó phương trình vô nghiệm khi $2^{-m^{2}+6m}>1\Leftrightarrow-m^{2}+6m>0\Leftrightarrow0<m<6$, có 5 giá trị nguyên của $m$.	lời giải lấy t<0 nên tính cả m=0, m=6 (khi đó x=kπ là nghiệm); đáp án đúng B
mh24-22-40	question	diện tích hàng thang ABCD	diện tích hình thang ABCD	lỗi gõ
mh24-22-40	solution	\frac{1}{2}d\left(A;BC \right).BC=\frac{3}{2}d\left(C;DA \right).DA	\frac{1}{2}d\left(C;DA \right).DA=\frac{3}{2}d\left(A;BC \right).BC	hai vế bị ghi đảo
mh24-22-40	solution	D\left(12;9;\,-2 \right) \end{array} \right.$	D\left(13;9;\,-2 \right) \end{array} \right.$⏎Vì $ABCD$ là hình thang có đáy $AD$ (các đỉnh theo thứ tự $A,B,C,D$) nên $\overrightarrow{AD}$ cùng hướng với $\overrightarrow{BC}$, do đó chỉ nhận $t=3$, tức $D\left(-17;-3;4 \right)$.	t=−3 cho tứ giác tự cắt; lời giải còn ghi nhầm 13 thành 12; đáp án đúng A
mh24-23-22	solution	=F\left(2 \right)-F\left(0 \right)=8$.	=F\left(2 \right)-F\left(0 \right)=-3-5=-8$.	F(2)−F(0)=−3−5=−8; đáp án đúng B
mh24-23-40	solution	\Leftrightarrow m\in\left\{-5;1;5;11 \right\}\Rightarrow\sum m=12$.	\Leftrightarrow m\in\left\{-5;1;5;11 \right\}$.⏎Với $m=1$ hoặc $m=11$, hai đường tròn tiếp xúc tại điểm biểu diễn $z=6$, khi đó $\frac{z}{z-6}$ không xác định nên loại. Với $m=\pm5$, hai đường tròn tiếp xúc tại gốc tọa độ: $z=0$ và $\frac{z}{z-6}=0$ là số thuần ảo.⏎Vậy $S=\left\{-5;5 \right\}$, tổng các phần tử của $S$ bằng 0.	phải loại z=6; đáp án đúng D
mh24-24-37	solution	khi và chỉ khi $\frac{3}{2}<m<9 \Rightarrow m\in\left\{2;3;...;8 \right\}$.	khi và chỉ khi $g\left(0 \right)<m<g\left(1 \right)\Leftrightarrow\frac{8}{3}<m<9 \Rightarrow m\in\left\{3;4;...;8 \right\}$, có 6 giá trị.	cận dưới là g(0)=8/3; đáp án đúng D
mh24-24-40	solution	\frac{m-2}{m}\le\frac{1}{2}	\frac{m-2}{m}<\frac{1}{2}	x=1/2 thuộc miền xét nên bất đẳng thức phải chặt
mh24-24-40	solution	\frac{m-4}{m}\le0	\frac{m-4}{m}<0	bất đẳng thức chặt
mh24-24-40	solution	\Leftrightarrow0<m\le4$	\Leftrightarrow0<m<4$	bất đẳng thức chặt
mh24-24-40	solution	suy ra $m\in\left[0;4 \right]$.	suy ra $m\in\left[0;4 \right)$.	m=4 làm biểu thức bằng 0 tại x=1/2; đáp án đúng D
mh24-27-02	solution	Ta có: $V_{A'.ABC}=\frac{1}{3}V_{ABC.A'B'C'}=\frac{1}{3}.6a^{2}.2a=4a^{3}$	Chiều cao lăng trụ là $h=\frac{6a^{2}}{2a}=3a$, diện tích đáy là $\frac{\left(2a \right)^{2}\sqrt{3}}{4}=a^{2}\sqrt{3}$ nên $V_{ABC.A'B'C'}=a^{2}\sqrt{3}.3a=3\sqrt{3}a^{3}$.⏎Ta có: $V_{A'.ABC}=\frac{1}{3}V_{ABC.A'B'C'}=\sqrt{3}a^{3}$	lời giải lấy nhầm 6a²·2a làm thể tích lăng trụ; đáp án đúng C
mh24-27-08	solution	Sử dụng: $\int\limits^{\,}_{a}^{b}\,f\left(x \right)dx+\int\limits^{\,}_{c}^{b}\,f\left(x \right)dx=\int\limits^{\,}_{c}^{a}\,f\left(x \right)dx$	Sử dụng: $\int\limits_{a}^{b}f\left(x \right)dx+\int\limits_{b}^{c}f\left(x \right)dx=\int\limits_{a}^{c}f\left(x \right)dx$ và $\int\limits_{b}^{a}f\left(x \right)dx=-\int\limits_{a}^{b}f\left(x \right)dx$	công thức trong lời giải sai
mh24-27-08	solution	+\int\limits^{\,}_{2}^{1}\,f\left(x \right)dx=2+3=5$	+\int\limits_{1}^{2}f\left(x \right)dx=\int\limits_{0}^{1}f\left(x \right)dx-\int\limits_{2}^{1}f\left(x \right)dx=2-3=-1$	∫₁²f=−∫₂¹f=−3; đáp án đúng B
mh24-27-42	solution	\Rightarrow x^{5}+2x^{3}-3m=x^{3}\Rightarrow x^{5}+x^{3}=3m$	\Rightarrow x^{5}+2x^{3}-3m+m=x^{3}\Rightarrow x^{5}+x^{3}=2m$	lời giải bỏ sót +m
mh24-27-42	solution	thì $3m\in\left[-2;2 \right]\Rightarrow m\in\left[-\frac{2}{3};\frac{2}{3} \right]$	thì $2m\in\left[-2;2 \right]\Rightarrow m\in\left[-1;1 \right]$	theo x⁵+x³=2m
mh24-27-42	solution	Mà $m\in\mathbb{Z}\Rightarrow m=0$	Mà $m\in\mathbb{Z}\Rightarrow m\in\left\{-1;0;1 \right\}$, có 3 giá trị	đáp án đúng D
mh24-27-44	solution	Vậy $T=3a^{2}-bc=3.2^{2}+2.1=14$	Vì $a,b$ là hai số nguyên dương nguyên tố cùng nhau nên viết $2\mathrm{ln}2-1=\mathrm{ln}4-1$, suy ra $a=1,b=4,c=-1$.⏎Vậy $T=3a^{2}-bc=3.1^{2}-4.\left(-1 \right)=7$	a=b=2 không nguyên tố cùng nhau; đáp án đúng C
mh24-28-39	solution	\Rightarrow\mathrm{tan}ACH=\frac{AH}{AC}=\frac{\frac{2a}{\sqrt{5}}}{a\sqrt{2}}=\frac{2}{\sqrt{10}}\Rightarrow\angle ACH=32,31^{\circ}$	\Rightarrow\mathrm{sin}ACH=\frac{AH}{AC}=\frac{\frac{2a}{\sqrt{5}}}{a\sqrt{2}}=\frac{2}{\sqrt{10}}\Rightarrow\angle ACH\approx39,23^{\circ}$	tam giác AHC vuông tại H nên AH/AC là sin
mh24-28-44	solution	\Leftrightarrow m=25 \right.$	\Leftrightarrow m=5 \right.$	|m−15|=10 và |m−15|>|m+2| cho m=5
mh24-28-44	solution	Vậy $m\in\left\{8,25 \right\}$	Vậy $m\in\left\{5;8 \right\}$, tập $S$ có 2 phần tử	S={5;8}
mh24-28-44	solution	=\frac{-c\left(m^{2}-n^{2} \right)}{\sqrt{1+m^{2}}.\sqrt{1+m^{2}}	=\frac{-c\left(m^{2}-n^{2} \right)}{\sqrt{1+m^{2}}.\sqrt{1+n^{2}}	gõ nhầm n thành m
mh24-28-44	solution	\left(3a+\frac{c}{\sqrt{1+m^{2}}.\sqrt{1+m^{2}}	\left(3a+\frac{c}{\sqrt{1+m^{2}}.\sqrt{1+n^{2}}	gõ nhầm n thành m
mh24-16-11	solution	x=\pm3 \\ x=\pm1	x=\pm\sqrt{3} \\ x=\pm1	x²=3 cho x=±√3
mh24-16-11	solution	Xác định hoành đô giao điểm.	Xác định hoành độ giao điểm.	lỗi gõ
mh24-16-26	solution	Phương pháp:⏎Thể tích của khối nón là $V=\frac{1}{3}\pi^{2}h$.	Phương pháp:⏎Thể tích của khối nón là $V=\frac{1}{3}\pi r^{2}h$.	thiếu r
mh24-16-26	solution	Cách giải:⏎Thể tích của khối nón là $V=\frac{1}{3}\pi^{2}h$.	Cách giải:⏎Thể tích của khối nón là $V=\frac{1}{3}\pi r^{2}h$.	thiếu r
mh24-16-34	solution	$\mathrm{log}_{a}\frac{b}{c}=8\mathrm{log}_{a}b-\mathrm{log}_{a}c$	$\mathrm{log}_{a}\frac{b}{c}=\mathrm{log}_{a}b-\mathrm{log}_{a}c$ và $\mathrm{log}_{a^{n}}b^{m}=\frac{m}{n}\mathrm{log}_{a}b$	dòng Phương pháp ghi sai công thức (thừa hệ số 8)
mh24-17-21	solution	\pi rl=\pi.7.12=14\pi	\pi rl=\pi.2.7=14\pi	lỗi gõ số
mh24-17-23	solution	x^{2}=0 \\ x-1=0 \\ (x-2)^{3}=0	x^{2}=0 \\ x+1=0 \\ (x-2)^{3}=0	đề là x+1
mh24-17-23	solution	x=0 \\ x=1 \\ x=2	x=0 \\ x=-1 \\ x=2	đề là x+1
mh24-17-23	solution	Dựa vào bảng biến thiên suy ra hàm số có 1 điểm cực đại.	Vì $x=0$ là nghiệm kép nên $f'\left(x \right)$ chỉ đổi dấu từ $+$ sang $-$ khi qua $x=-1$ và từ $-$ sang $+$ khi qua $x=2$, suy ra hàm số có 1 điểm cực đại.	bảng biến thiên dạng hình đã bị bỏ; nêu lại dấu của f' bằng chữ
mh24-18-39	solution	=703992000$(nghìn đồng).	=703992000$ (đồng).	đơn vị là đồng
mh24-18-42	solution	Gọi $M$ là trung điểm $BC$	Gọi $H$ là trung điểm $BC$	trùng tên điểm M của đề
mh24-18-42	solution	\frac{\left(2\sqrt{3} \right)\sqrt{3}}{2}\sqrt{3}=3\sqrt{3}$	\frac{\left(2\sqrt{3}a \right)\sqrt{3}}{2}\sqrt{3}=3\sqrt{3}a$	thiếu a
mh24-19-43	solution	=\frac{13}{3}=4	=\frac{12}{3}=4	lỗi gõ số
mh24-20-08	solution	Diện tích của mặt cầu đã cho bằng $S_{xq}=\pi rl$.	Diện tích xung quanh của hình nón là $S_{xq}=\pi rl$.	chép nhầm câu mở đầu của câu 7
mh24-20-15	solution	+3\int\limits_{-1}^{2} f(x)dx=\frac{3}{2}	+3\int\limits_{-1}^{2} g(x)dx=\frac{3}{2}	3∫g chứ không phải 3∫f
mh24-20-29	solution	S_{ABCD}=12=AB^{2}	S_{ABCD}=16=AB^{2}	đề cho diện tích 16
mh24-20-41	solution	Đội cận: $x=1\Rightarrow t=1;	Đổi cận: $x=1\Rightarrow t=0;	x=1 thì t=ln1=0
mh24-20-42	solution	\frac{a+\frac{2\sqrt{3}}{2}+\frac{a\sqrt{11}}{2}}{2}	\frac{a+\frac{a\sqrt{3}}{2}+\frac{a\sqrt{11}}{2}}{2}	AM=a√3/2
mh24-22-11	solution	\int \left(x^{2}-e^{x} \right)dx	\int \left(2x-e^{x} \right)dx	f(x)=2x−eˣ
mh24-22-43	solution	Mà $f\left(1 \right)=f\left(3 \right)=0$ suy ra $f\left(x \right)=0\Leftrightarrow\left[\begin{array}{l} x=1 \\ x=3 \end{array} \right.$.	Mà $f\left(0 \right)=f\left(1 \right)=0$ nên $f\left(t \right)=0\Leftrightarrow\left[\begin{array}{l} t=0 \\ t=1 \end{array} \right.\Leftrightarrow\left[\begin{array}{l} x=1 \\ x=3 \end{array} \right.$, phương trình có 2 nghiệm.	f là hàm theo t
mh24-23-30	solution	Số tam giác được tạo thành từ 9 điểm là	Số tam giác được tạo thành từ 10 điểm là	có 10 điểm
mh24-24-43	solution	f\left(2 \right)=\left(e+\sqrt{2} \right)^{2}\approx9,81	f\left(2 \right)=\left(e-1+\sqrt{2} \right)^{2}\approx9,81	√f(2)=e−1+√2
mh24-24-48	solution	chứa không quá 5 số nguyên	chứa không quá 10 số nguyên	đề là 10
mh24-24-48	solution	2^{a+10}+a+5\le2^{^{\circ}}-1=0<4^{a}>0.	2^{a+10}+a+10\le2^{-1}-1<0<4^{a}.	công thức bị gõ sai
mh24-25-02	solution	-\int\limits_{1}^{1} f\left(x \right)dx=4-2=2.	-\int\limits_{0}^{1} f\left(x \right)dx=4-2=2.	cận tích phân gõ sai
mh24-26-07	solution	\frac{SA}{SC}=\frac{a}{a}=1	\frac{SA}{AC}=\frac{a}{a}=1	tan SCA = SA/AC
mh24-26-31	solution	S_{tp}=2\pi Rh+\pi R^{2}=	S_{tp}=2\pi Rh+2\pi R^{2}=	thiếu hệ số 2 ở diện tích hai đáy
mh24-26-34	solution	f\left(1 \right)=2+1=3	f\left(1 \right)=1+1=2	f(1)=1+4/4=2
mh24-27-10	solution	x=-3\in\left[1;5 \right] \end{array}	x=-3\notin\left[1;5 \right] \end{array}	−3 không thuộc [1;5]
mh24-27-36	solution	khi và chỉ khi $m=\frac{5}{2}$	khi và chỉ khi $m=\frac{9}{4}$	dấu bằng tại m=9/4
mh24-28-26	solution	Chọn 1 nam đứng đầu hàng	Chọn 1 nữ đứng đầu hàng	đề: đầu hàng là nữ
mh24-28-26	solution	Chọn 1 nữ đứng cuối hàng	Chọn 1 nam đứng cuối hàng	đề: cuối hàng là nam
mh24-29-08	solution	\frac{y_{A}+y_{B}}{2}+\frac{z_{A}+z_{B}}{2}	\frac{y_{A}+y_{B}}{2},\frac{z_{A}+z_{B}}{2}	dấu + thay dấu phẩy
mh24-29-39	solution	⏎S⏎Vì $\mathrm{M}$	⏎Vì $\mathrm{M}$	dòng "S" thừa (nhãn điểm của hình)
mh24-29-39	solution	V_{ABCD.A'BC'D}	V_{ABCD.A'B'C'D'}	tên khối hộp gõ sai
mh24-29-39	solution	V_{AECD.A'B'C'D'}	V_{ABCD.A'B'C'D'}	tên khối hộp gõ sai
mh24-29-45	solution	M\left(4+2t,2,-2-t \right)	M\left(4+2t,t,-2-t \right)	tung độ là t
mh24-30-41	solution	Vậy tích các phần tử của $S$ là $2^{3}=8$	Vậy số tập hợp con của $S$ là $2^{3}=8$	đề hỏi số tập con
mh24-30-42	solution	V_{ABCD.A'B'C'D'}	V_{ABC.A'B'C'}	khối là lăng trụ tam giác
mh24-30-43	solution	SO=SK.tan\widehat{SKO}=\sqrt{3}	SO=SK.\sin\widehat{SKO}=\sqrt{3}	tam giác SKO vuông tại O nên SO=SK·sin SKO
mh24-35-31	solution	Vì thiết diện là hình vuông có cạnh bằng $a$ nên ta có	Vì thiết diện qua trục là hình vuông và bán kính đáy bằng $a$ nên ta có	cạnh hình vuông là 2a, không phải a
mh24-35-47	solution	a\in\left\{-11;10;....;-4;3;4;.....;11 \right\}	a\in\left\{-11;-10;....;-4;3;4;.....;11 \right\}	thiếu dấu trừ
mh24-36-18	solution	-3\int\limits_{-1}^{2} f\left(x \right)\mathrm{d}x=2.2	-3\int\limits_{-1}^{2} g\left(x \right)\mathrm{d}x=2.2	3∫g chứ không phải 3∫f
mh24-36-49	solution	x^{2}+y^{2}+y^{2}-5x	x^{2}+y^{2}+z^{2}-5x	lỗi gõ biến
mh24-39-50	solution	\overrightarrow{AC}=\left(1;1-2 \right)	\overrightarrow{AC}=\left(1;1;-2 \right)	thiếu dấu ;
mh24-39-50	solution	\left(ABC \right):-1x+3y+1\left(y-2 \right)=0\Leftrightarrow-x+3y+y-2=0	\left(ABC \right):-1x+3y+1\left(z-2 \right)=0\Leftrightarrow-x+3y+z-2=0	gõ nhầm z thành y
mh24-19-25	question	đồng biến trên dkhoảng nào	đồng biến trên khoảng nào	lỗi gõ
mh24-20-25	question	Dện tích của hình phẳng	Diện tích của hình phẳng	lỗi gõ
mh24-29-17	question	Tập nghiệm của phương trình	Tập nghiệm của bất phương trình	đề là bất phương trình
mh24-29-46	question	Biế $\left[x^{2}	Biết $\left[x^{2}	lỗi gõ
mh24-30-14	question	Diện tích toàn phấn	Diện tích toàn phần	lỗi gõ
mh24-35-02	choice:A	A. $\left(-\infty-1 \right)$	A. $\left(-\infty;-1 \right)$	thiếu dấu ;
mh24-40-41	question	g\left(x \right)=mx^{3}+mx^{2}-x	g\left(x \right)=mx^{3}+nx^{2}-x	đề liệt kê tham số n; lời giải dùng g'(x)=3mx²+2nx−1
mh24-33-42	question	tất cả các giá trị thực của tham số	tất cả các giá trị nguyên của tham số	S=[−14;−2] là một đoạn nên chỉ tổng các giá trị nguyên mới xác định (−104)
mh24-33-42	question	\le16,\,\forall\in\left[0;3 \right]$. Tổng	\le16,\,\forall x\in\left[0;3 \right]$. Tổng	thiếu x
mh24-33-42	solution	$f(x)=\left| x^{3}-3x+m \right|\le16,\,\forall\in\left[0;3 \right]$	$f(x)=\left| x^{3}-3x+m \right|\le16,\,\forall x\in\left[0;3 \right]$	thiếu x
mh24-33-42	solution	Vậycó	Vậy có	thiếu dấu cách
mh24-33-42	solution	Tổng các giá trị của $m$là −104.	Vì $m$ nguyên nên $m\in\left\{-14;-13;\ldots;-2 \right\}$, tổng các giá trị của $m$ là −104.	nêu rõ m nguyên
mh24-15-20	question	Cho hình lăng trụ đều có cạnh bằng $a$, cạnh bên bằng $2a$.	Cho hình lăng trụ tam giác đều có cạnh đáy bằng $a$, cạnh bên bằng $2a$.	đề thiếu "tam giác" và "đáy"; lời giải và phương án đều theo lăng trụ tam giác đều
mh24-15-20	solution	Lặng trụ đều	Lăng trụ đều	lỗi gõ
mh24-15-20	solution	Thể tích khối trụ $V=h.B$⏎Cách giải:	Thể tích khối lăng trụ $V=h.B$⏎Cách giải:	gọi nhầm khối lăng trụ là khối trụ
mh24-15-20	solution	Thể tích khối trụ $V=h.B=2a	Thể tích khối lăng trụ $V=h.B=2a	gọi nhầm khối lăng trụ là khối trụ
mh24-25-26	solution	v⏎Phương trình mp$(ABC)$	Phương trình mp$(ABC)$	chữ "v" thừa
mh24-37-39	solution	CMIM0⏎Xét điểm $C$	Xét điểm $C$	chuỗi rác "CMIM0"
mh24-16-32	choice:C	C. $\left(5+\sqrt{21} \right)^{x}+\left(6-m \right)\left(5-\sqrt{21} \right)^{x}-\left(m+2 \right)2^{x}\ge0$	C. $-2$	phương án C bị thay bằng công thức của câu 44; dấu * ở C và lời giải kết luận GTNN bằng −2
mh24-21-48	solution	⏎Ta có $\frac{V_{A.B'C'D}}{V_{A.BCD}}=\frac{AB'}{AB}\cdot\frac{AC'}{AC}\cdot\frac{AD}{AD}=\frac{1}{2}\cdot\frac{1}{2}\cdot1=\frac{1}{4}$.⏎Suy ra $V_{A.B'C'D}=\frac{1}{4}\cdot V_{A.BCD}=\frac{1}{4}\frac{a^{3}.\sqrt{2}}{12}=\frac{a^{3}\sqrt{2}}{48}$.		bỏ 2 dòng của bài khác dính cuối lời giải
mh24-22-47	question	gọi $\left(H \right)$ là khối đa diện chứa điểm	gọi $\left(H \right)$ là khối đa diện chứa điểm A. Tính thể tích của khối đa diện $\left(H \right)$ theo a.	ghép lại phần đề bị tách vào phương án A
mh24-22-47	choice:A	A. Tính thể tích của khối đa diện $\left(H \right)$ theo a.⏎A. 	A. 	phần đề bị tách vào phương án A
mh24-28-46	solution	giảipe_514$]. Với	đặt $t=\frac{x^{3}+2x}{3}$. Với	công thức bị mất khi chuyển đổi (còn chuỗi rác "giảipe_514"); dựng lại theo mạch lời giải
mh24-28-46	solution	giaier!m:$mathtype_523$]	Ta có $f'\left(x \right)=\frac{6x^{4}+16x^{3}+4-2m}{\left(x+2 \right)^{2}}$	công thức f'(x) bị mất khi chuyển đổi; dựng lại (khớp với điều kiện m<−3, m>13 ở các trường hợp sau)
mh24-33-44	solution	Từ đó ta cần chọn hàm $D$ cho phù hợp	Từ đó ta cần chọn hàm $v$ cho phù hợp	gọi nhầm hàm v là D
mh24-33-44	solution	Khi đó ta cần chọn hàm $D$ thích hợp	Khi đó ta cần chọn hàm $v$ thích hợp	gọi nhầm hàm v là D
mh24-29-21	solution	\Rightarrow M+n=68$	\Rightarrow M+m=68$	gõ nhầm m thành n
