id	answer	unflag	flag	topic	level	note
mh24-24-17			duplicate:int_0032			cùng bài với int_0032 (câu của đề thi trùng câu trong sách, khác phương án nhiễu)
int_0361			duplicate:int_0351			cùng bài với int_0351 (khác cách viết)
mh24-20-15			duplicate:int_0686			cùng bài với int_0686 (câu của đề thi trùng câu trong sách)
int_0859			duplicate:int_0805			cùng bài với int_0805 (khác phương án nhiễu)
int_0828			duplicate:int_0787			cùng bài với int_0787 (khác cách viết)
int_1415			duplicate:int_1146			cùng bài với int_1146 (khác tên nhân vật và phương án nhiễu)
int_0814			duplicate:int_0799			cùng bài với int_0799 (khác cách viết)
int_0816			duplicate:int_0710			cùng bài với int_0710 (khác thứ tự phương án; bản này không có lời giải)
mh24-34-27			duplicate:int_0019			cùng bài với int_0019 (câu của đề thi trùng câu trong sách)
int_1196			duplicate:int_0247			cùng bài với int_0247 (khác phương án nhiễu)
mh24-20-41			duplicate:int_0516			cùng bài với int_0516 (câu của đề thi trùng câu trong sách)
int_1145			duplicate:int_1132			cùng bài với int_1132 (khác phương án nhiễu)
int_0843			duplicate:int_0716			cùng bài với int_0716 (bản chính nói thêm f là hàm bậc nhất; cùng đáp số)
mh24-27-27			duplicate:int_0777			cùng bài với int_0777 (câu của đề thi trùng câu trong sách)
int_1249			duplicate:int_0108			cùng bài với int_0108 (khác phương án nhiễu)
int_0303			duplicate:int_0301			cùng bài với int_0301 (khác cách viết)
int_0873			duplicate:int_0866			cùng bài với int_0866 (khác thứ tự phương án)
int_0779			duplicate:int_0496			cùng bài với int_0496 (khác thứ tự phương án)
int_1198			duplicate:int_0046			cùng bài với int_0046 (khác phương án nhiễu)
int_0848			duplicate:int_0801			cùng bài với int_0801 (khác cách viết)
int_0746			duplicate:int_0744			cùng bài với int_0744 (khác thứ tự phương án)
int_0002			duplicate:int_0003			cùng bài với int_0003 (khác một phương án nhiễu; bản này không có lời giải)
int_1353			duplicate:int_0683			cùng bài với int_0683 (khác phương án nhiễu)
