id	file	question_number	flag	note
int_0751	10	98	segmentation_error	đầu đề dính câu cuối lời giải của câu trước ("Suy ra 4∫...")
int_0800	11	147	key_wrong	2I = ∫_0^{π/2}(sin x + cos x)dx = 2 nên I = 1 (B); sách chọn D (-1)
int_0807	11	154	source_corrupted	lời giải ghi "Chọn C" nhưng tính ra y=4x-2 (D, trùng đáp án)
int_0826	11	173	source_corrupted	đề ghi "f(0).f(2018-x)=1" (ý là f(x)); phương án D thiếu "I="
int_0846	12	193	source_corrupted	phương án D là số rác (-1761)
int_0858	12	205	key_wrong	1 = f(0) + I nên I = 0 (B), lời giải cũng ra 0; sách chọn C
int_0876	13	2	figure_implicit	đề nhắc "như hình vẽ bên" nhưng không bị lọc -> kiểm tra chuẩn hoá Unicode (NFC)
int_0902	13	28	key_wrong	lời giải ra k = ln(9/2) (A); sách chọn B
int_0918	13	44	key_wrong	công thức diện tích đúng là ∫|f-g|dx (B); sách chọn D
int_0934	13	60	source_corrupted	đề (hàm bậc ba có tham số m) không khớp lời giải (dùng y=x^2)
int_0971	13	98	figure_implicit	cần hình (S1, S2 trên đồ thị) nhưng đề không nói "hình vẽ" -> loại
int_1049	15	7	key_wrong	V = pi*int_{-5}^{5}(9-9x^2/25)dx = 60pi (A), lời giải cũng ra 60pi; sách chọn D
int_1053	15	11	key_wrong	V = 12pi*int sqrt(1-x^2) = 6pi^2 (B); sách chọn D (6pi)
int_1057	15	15	source_corrupted	phương án B là rác "-18=a.(-6)^2"
int_1062	15	20	key_wrong	V = pi*int_0^2 (4x^2 - x^4)dx (B); sách chọn A (bình phương hiệu, sai)
int_1140	17	12	key_wrong	tia lửa bắn lên chịu gia tốc -9,8 nên h = 37,5 - 30,625 = 6,875 m (D); sách cộng gia tốc -> C (vô lý vật lý)
int_1159	17	31	source_corrupted	lời giải dính rác "M(1/6+t;5/6+t;13/6+t)" và "(P)."
int_1161	17	33	key_wrong	bỏ quên v(0)=10; đúng S = 216 + 60 = 276 m (C); sách chọn D
int_1193	18	2	source_corrupted	phương án D là rác "F(x)" (được chọn làm đáp án); đáp án thật ln^4x/4 không có
int_1202	18	11	source_corrupted	phương án A là rác "ΔCEF"
int_1207	18	16	source_corrupted	đề và phương án C bị trộn công thức câu khác
int_1211	18	20	segmentation_error	lời giải chỉ là tiêu đề "ĐỀ KIỂM TRA 279"
int_1224	18	13	source_corrupted	phương án C (đáp án) ghi "2 < max > 3", ý là 2 < max < 3
int_1244	18	13	source_corrupted	f chỉ cho f(0)=1 nhưng hỏi f(3) ở khoảng x>1/2, hằng số không xác định (thiếu f(1))
int_1265	18	14	source_corrupted	đề nói "nguyên hàm của f có dạng ax^2+bx+ln|2x+1|+c" nhưng dạng đó là của f
int_1288	18	17	source_corrupted	đề (đạo hàm của sin2x) không khớp phương án (sin(x/3-2)) -> loại
int_1321	18	10	key_wrong	quay quanh Oy, V = pi*int_0^1 (y - y^4)dy = 3pi/10 (B); sách chọn A
int_1355	18	7	key_wrong	V = 4pi*int_0^1 (x-1)^2 e^{2x}dx = pi(e^2-5) (C); sách chọn D
int_1378	18	6	source_corrupted	đề ghi f'(x)=... nhưng đáp án tính như tốc độ doanh thu là f(x)=12x^5+... (C khớp cách hiểu đó)
int_1394	18	5	segmentation_error	lời giải là toàn bộ "Câu 7" (tích phân I_{n+1}) bị nuốt -> câu 7 bị mất
int_1419	18	9	key_wrong	hệ số x^6 của (5x-1)^6/30 là 5^6/30 = 3125/6 (D); sách chọn B
int_1429	18	19	source_corrupted	giả thiết mâu thuẫn, ra I = int f^2 = -18 < 0 -> loại
