id	file	question_number	level
int_0156	4	3	TH
int_0157	4	4	TH
int_0158	4	5	TH
int_0159	4	6	TH
int_0160	4	7	TH
int_0161	4	8	TH
int_0162	4	9	TH
int_0163	4	10	TH
int_0164	4	11	TH
int_0165	4	12	VD
int_0166	4	13	TH
int_0167	4	14	TH
int_0168	4	15	VD
int_0169	4	16	TH
int_0170	4	17	VD
int_0171	4	18	TH
int_0172	4	19	TH
int_0173	4	20	TH
int_0174	4	21	TH
int_0175	4	22	TH
int_0176	4	23	TH
int_0177	4	24	TH
int_0178	4	25	TH
int_0179	4	26	TH
int_0181	4	28	TH
int_0182	4	29	TH
int_0183	4	30	TH
int_0184	4	31	VD
int_0185	4	32	TH
int_0186	4	33	VD
int_0187	4	34	VD
int_0188	4	35	TH
int_0189	4	36	TH
int_0190	4	37	TH
int_0191	4	38	VD
int_0192	4	39	VD
int_0193	4	40	TH
int_0194	4	41	TH
int_0195	4	42	VDC
int_0196	4	43	TH
int_0197	4	44	VDC
int_0198	4	45	TH
int_0199	4	46	TH
int_0200	4	47	TH
int_0201	4	48	TH
int_0202	4	49	TH
int_0203	4	50	TH
int_0204	4	51	TH
int_0205	4	52	VD
int_0206	4	53	VD
int_0207	4	54	TH
int_0208	4	55	TH
int_0209	4	56	TH
int_0210	4	57	TH
int_0211	4	58	VD
int_0212	4	59	VD
int_0213	4	60	TH
int_0214	4	61	TH
int_0215	4	62	VD
int_0216	4	63	VD
int_0218	4	65	VDC
int_0219	4	66	VDC
int_0220	4	67	TH
int_0221	4	68	TH
int_0222	4	69	TH
int_0223	4	70	VD
int_0224	4	71	VD
int_0225	4	72	VD
int_0226	4	73	TH
int_0227	4	74	VD
int_0228	4	75	VD
int_0229	4	76	TH
int_0230	4	77	TH
int_0231	4	78	TH
int_0232	4	79	VD
int_0233	4	80	VD
int_0234	4	81	VDC
int_0235	4	82	VDC
int_0237	4	84	VDC
int_0238	5	1	TH
int_0239	5	2	TH
int_0240	5	3	TH
int_0241	5	4	VD
int_0242	5	5	VD
int_0243	5	6	TH
int_0244	5	7	VD
int_0245	5	8	VD
int_0246	5	9	TH
int_0247	5	10	TH
int_0248	5	11	VDC
int_0249	5	12	TH
int_0250	5	13	TH
int_0251	5	14	TH
int_0252	5	15	TH
int_0253	5	16	TH
int_0254	5	17	TH
int_0255	5	18	TH
int_0256	5	19	TH
int_0257	5	20	VD
int_0258	5	21	TH
int_0259	5	22	TH
int_0260	5	23	VD
int_0261	5	24	VD
int_0262	5	25	TH
int_0263	5	26	VD
int_0264	5	27	VDC
int_0265	5	28	VD
int_0266	5	29	VDC
int_0267	5	30	VD
int_0268	5	31	VD
int_0269	5	32	TH
int_0270	5	33	VD
int_0271	5	34	VDC
int_0272	5	35	TH
int_0273	5	36	VD
int_0274	6	1	NB
int_0275	6	2	NB
int_0276	6	3	NB
int_0277	6	4	NB
int_0278	6	5	NB
int_0279	6	6	NB
int_0280	6	7	NB
int_0281	6	8	NB
int_0282	6	9	NB
int_0283	6	10	NB
int_0286	6	13	NB
int_0287	6	14	NB
int_0288	6	15	TH
int_0289	6	16	TH
int_0290	6	17	NB
int_0291	6	18	NB
int_0292	6	19	NB
int_0293	6	20	NB
int_0294	6	21	NB
int_0295	6	22	NB
int_0297	6	24	NB
int_0298	6	25	TH
int_0299	6	26	TH
int_0300	6	27	TH
int_0301	6	28	TH
int_0302	6	29	TH
int_0303	6	30	TH
int_0304	6	31	VD
int_0305	6	32	TH
int_0306	6	33	TH
int_0307	6	34	NB
int_0308	6	35	TH
int_0309	6	36	TH
int_0310	6	37	VD
int_0311	6	38	TH
int_0312	6	39	NB
int_0313	6	40	NB
int_0314	6	41	TH
int_0315	6	42	TH
int_0316	6	43	TH
int_0317	6	44	TH
int_0318	6	45	VD
int_0319	6	46	TH
int_0320	6	47	TH
int_0321	6	48	VD
int_0322	6	49	TH
int_0323	6	50	TH
int_0324	6	51	NB
int_0325	6	52	TH
int_0326	6	53	TH
int_0327	6	54	VD
int_0328	6	55	VD
int_0329	6	56	VDC
int_0331	6	58	TH
int_0332	6	59	VD
int_0333	6	60	TH
int_0334	6	61	TH
int_0335	6	62	TH
int_0336	6	63	TH
int_0337	6	64	TH
int_0338	6	65	NB
int_0339	6	66	TH
int_0340	6	67	TH
int_0341	6	68	VD
int_0342	6	69	NB
int_0343	6	70	TH
int_0344	6	71	TH
int_0345	6	72	TH
int_0346	6	73	TH
int_0347	6	74	TH
int_0348	6	75	NB
int_0349	6	76	TH
int_0350	6	77	TH
int_0351	6	78	TH
int_0352	6	79	TH
int_0353	6	80	TH
int_0354	6	81	VD
int_0355	6	82	VD
int_0356	6	83	VD
int_0357	6	84	TH
int_0358	6	85	VD
int_0359	6	86	TH
int_0360	6	87	TH
int_0361	6	88	TH
int_0362	6	89	VD
int_0363	6	90	TH
int_0364	6	91	TH
int_0365	6	92	TH
int_0366	6	93	VD
int_0367	6	94	TH
int_0368	6	95	TH
int_0369	6	96	TH
int_0370	6	97	TH
int_0371	6	98	TH
int_0372	6	99	TH
int_0373	6	100	VD
int_0374	6	101	TH
int_0375	6	102	VD
int_0376	6	103	TH
int_0377	6	104	TH
int_0378	6	105	NB
int_0379	6	106	VD
int_0380	6	107	VD
int_0381	6	108	TH
int_0382	6	109	TH
int_0383	6	110	VD
int_0384	6	111	VD
int_0385	6	112	VD
int_0386	6	113	NB
int_0387	6	114	TH
int_0388	6	115	NB
int_0389	6	116	NB
int_0390	6	117	VD
int_0391	6	118	NB
int_0392	6	119	VD
int_0393	6	120	NB
int_0394	6	121	TH
int_0395	6	122	TH
int_0396	6	123	VD
int_0397	6	124	TH
int_0398	6	125	TH
int_0399	6	126	TH
int_0400	6	127	TH
int_0401	6	128	TH
int_0402	6	129	VD
int_0403	6	130	TH
int_0404	6	131	TH
int_0405	6	132	VDC
int_0406	6	133	VD
int_0407	6	134	VD
int_0408	6	135	VD
int_0409	6	136	TH
int_0410	6	137	VDC
int_0411	6	138	NB
int_0413	6	140	TH
int_0414	6	141	VD
int_0415	6	142	VD
int_0416	6	143	VD
int_0417	6	144	VDC
int_0418	7	1	NB
int_0419	7	2	TH
int_0420	7	3	VDC
int_0421	7	4	TH
int_0422	7	5	VD
int_0423	7	6	VD
int_0424	7	7	TH
int_0425	7	8	TH
int_0426	7	9	TH
int_0427	7	10	TH
int_0428	7	11	VD
int_0429	7	12	VDC
int_0430	7	13	VD
int_0432	7	15	TH
int_0433	7	16	TH
int_0434	7	17	TH
int_0435	7	18	TH
int_0436	7	19	TH
int_0437	7	20	VD
int_0438	7	21	VD
int_0439	7	22	VD
int_0440	7	23	VD
int_0441	7	24	TH
int_0442	7	25	VD
int_0443	7	26	TH
int_0444	7	27	VD
int_0445	7	28	VD
int_0446	7	29	VD
int_0447	7	30	VD
int_0448	7	31	VDC
int_0449	7	32	TH
int_0450	7	33	VD
int_0451	7	34	VD
int_0452	7	35	VD
int_0453	7	36	TH
int_0454	7	37	TH
int_0455	7	38	VD
int_0456	7	39	VD
int_0458	7	41	VD
int_0459	7	42	VD
int_0460	7	43	VDC
int_0461	7	44	VDC
int_0462	7	45	VD
int_0464	7	47	VD
int_0465	7	48	TH
int_0466	7	49	TH
int_0467	7	50	TH
int_0468	7	51	TH
int_0470	7	53	TH
int_0471	7	54	VD
int_0472	7	55	TH
int_0473	7	56	VDC
int_0474	7	57	TH
int_0475	7	58	VD
int_0476	7	59	TH
int_0477	7	60	VDC
int_0478	7	61	VD
int_0479	7	62	VDC
int_0480	7	63	VD
int_0481	7	64	VD
int_0482	7	65	VD
int_0483	7	66	VD
int_0484	7	67	VDC
int_0485	7	68	VD
int_0486	7	69	VDC
int_0487	7	70	TH
int_0488	7	71	VD
int_0489	7	72	TH
int_0490	7	73	VD
int_0491	7	74	VDC
int_0492	7	75	VDC
int_0493	7	76	TH
int_0494	7	77	TH
int_0495	7	78	TH
int_0496	7	79	VD
int_0497	7	80	TH
int_0498	7	81	TH
int_0499	7	82	VD
int_0500	7	83	VD
int_0501	7	84	VDC
int_0502	7	85	TH
int_0503	7	86	VD
int_0504	7	87	VD
int_0505	7	88	VDC
int_0506	7	89	VDC
int_0507	7	90	VD
int_0508	7	91	VD
int_0509	7	92	VD
int_0510	7	93	VDC
int_0511	7	94	VDC
int_0512	7	95	VD
int_0513	7	96	TH
int_0514	7	97	VD
int_0515	7	98	TH
int_0516	7	99	VD
int_0517	7	100	TH
int_0518	7	101	VD
int_0519	7	102	VD
int_0520	7	103	VD
int_0521	7	104	TH
int_0522	7	105	TH
int_0523	7	106	TH
int_0524	7	107	TH
int_0525	7	108	VD
int_0526	7	109	VD
int_0527	7	110	VD
int_0528	7	111	VD
int_0529	7	112	TH
int_0530	7	113	TH
int_0531	7	114	TH
int_0532	7	115	VD
int_0533	7	116	TH
int_0534	7	117	VD
int_0535	7	118	TH
int_0536	7	119	VDC
int_0538	7	121	VDC
int_0539	7	122	VDC
int_0540	7	123	VDC
int_0541	7	124	TH
int_0543	7	127	TH
int_0544	8	1	VD
int_0545	8	2	TH
int_0546	8	3	TH
int_0547	8	4	TH
int_0548	8	5	TH
int_0549	8	6	TH
int_0550	8	7	VD
int_0551	8	8	TH
int_0552	8	9	VD
int_0553	8	10	VD
int_0554	8	11	VD
int_0555	8	12	TH
int_0556	8	13	VD
int_0557	8	14	VD
int_0558	8	15	VD
int_0559	8	16	VD
int_0560	8	17	VDC
int_0561	8	18	VD
int_0562	8	19	VD
int_0564	8	21	VD
int_0565	8	22	VDC
int_0566	8	23	TH
int_0567	8	24	TH
int_0568	8	25	TH
int_0569	8	26	TH
int_0570	8	27	VD
int_0571	8	28	TH
int_0572	8	29	VD
int_0573	8	30	TH
int_0574	8	31	VD
int_0575	8	32	VDC
int_0576	8	33	VDC
int_0577	8	34	TH
int_0578	8	35	TH
int_0579	8	36	TH
int_0580	8	37	TH
int_0581	8	38	VD
int_0582	8	39	TH
int_0583	8	40	TH
int_0584	8	41	TH
int_0585	8	42	TH
int_0586	8	43	TH
int_0587	8	44	TH
int_0588	8	45	VD
int_0589	8	46	VD
int_0590	8	47	TH
int_0591	8	48	TH
int_0592	8	49	VD
int_0593	8	50	VDC
int_0594	8	51	VD
int_0595	8	52	VD
int_0596	8	53	TH
int_0597	8	54	VD
int_0598	8	55	VD
int_0599	8	56	VD
int_0600	8	57	VD
int_0601	8	58	TH
int_0602	8	59	TH
int_0603	8	60	VD
int_0604	8	61	TH
int_0605	8	62	TH
int_0606	8	63	VD
int_0607	8	64	VD
int_0608	8	65	VDC
int_0609	8	66	TH
int_0610	8	67	VD
int_0611	9	1	VD
int_0612	9	2	VD
int_0613	9	3	VD
int_0614	9	4	VD
int_0615	9	5	VD
int_0616	9	6	VD
int_0617	9	7	VD
int_0618	9	8	VD
int_0619	9	9	VD
int_0620	9	10	VDC
int_0621	9	11	VDC
int_0622	9	12	VD
int_0635	9	25	VDC
int_0643	9	33	VD
int_0645	9	35	VDC
int_0649	9	39	VDC
int_0650	9	40	VD
int_0651	9	41	VDC
int_0652	9	42	VDC
int_0653	9	43	VDC
int_0654	10	1	VD
int_0655	10	2	TH
int_0656	10	3	VD
int_0657	10	4	TH
int_0658	10	5	VD
int_0659	10	6	VD
int_0660	10	7	VDC
int_0661	10	8	VD
int_0662	10	9	VD
int_0663	10	10	VD
int_0664	10	11	VD
int_0665	10	12	VDC
int_0666	10	13	VDC
int_0667	10	14	VD
int_0668	10	15	VD
int_0669	10	16	VD
int_0670	10	17	VDC
int_0671	10	18	VD
int_0672	10	19	VDC
int_0673	10	20	VD
int_0674	10	21	VDC
int_0675	10	22	VD
int_0676	10	23	TH
int_0677	10	24	NB
int_0678	10	25	TH
int_0679	10	26	TH
int_0680	10	27	TH
int_0681	10	28	NB
int_0682	10	29	NB
int_0683	10	30	TH
int_0684	10	31	NB
int_0685	10	32	NB
int_0686	10	33	TH
int_0687	10	34	TH
int_0688	10	35	NB
int_0689	10	36	TH
int_0690	10	37	TH
int_0691	10	38	TH
int_0692	10	39	TH
int_0693	10	40	TH
int_0694	10	41	TH
int_0695	10	42	TH
int_0696	10	43	TH
int_0697	10	44	TH
int_0698	10	45	TH
int_0699	10	46	VD
int_0700	10	47	VD
int_0701	10	48	VD
int_0702	10	49	VD
int_0709	10	56	TH
int_0710	10	57	TH
int_0713	10	60	NB
int_0716	10	63	VD
int_0717	10	64	VDC
int_0718	10	65	VDC
int_0719	10	66	VD
int_0720	10	67	VD
int_0721	10	68	VDC
int_0722	10	69	VD
int_0723	10	70	VDC
int_0724	10	71	VD
int_0725	10	72	VD
int_0726	10	73	VDC
int_0727	10	74	VD
int_0728	10	75	VD
int_0730	10	77	VDC
int_0732	10	79	VD
int_0733	10	80	VDC
int_0734	10	81	VD
int_0735	10	82	VD
int_0736	10	83	VDC
int_0737	10	84	VDC
int_0738	10	85	VDC
int_0739	10	86	VDC
int_0740	10	87	VD
int_0741	10	88	VDC
int_0743	10	90	VDC
int_0744	10	91	TH
int_0745	10	92	TH
int_0746	10	93	TH
int_0748	10	95	VDC
int_0749	10	96	VDC
int_0750	10	97	VD
int_0751	10	98	VDC
int_0753	10	100	VDC
int_0756	10	103	VDC
int_0757	10	104	TH
int_0758	10	105	TH
int_0759	10	106	TH
int_0760	10	107	TH
int_0761	10	108	TH
int_0762	10	109	TH
int_0763	10	110	VD
int_0764	11	111	TH
int_0765	11	112	TH
int_0766	11	113	TH
int_0767	11	114	VD
int_0768	11	115	VD
int_0769	11	116	VD
int_0770	11	117	VD
int_0771	11	118	VDC
int_0772	11	119	VDC
int_0773	11	120	VD
int_0774	11	121	TH
int_0775	11	122	VD
int_0776	11	123	VD
int_0777	11	124	TH
int_0778	11	125	VD
int_0779	11	126	VD
int_0780	11	127	VDC
int_0781	11	128	VD
int_0782	11	129	VD
int_0783	11	130	VD
int_0784	11	131	VD
int_0785	11	132	VD
int_0786	11	133	VD
int_0787	11	134	VD
int_0788	11	135	VD
int_0790	11	137	VDC
int_0791	11	138	VDC
int_0792	11	139	VD
int_0793	11	140	VD
int_0794	11	141	VD
int_0795	11	142	VDC
int_0796	11	143	VDC
int_0797	11	144	VDC
int_0798	11	145	VDC
int_0799	11	146	VDC
int_0800	11	147	VDC
int_0801	11	148	VDC
int_0802	11	149	VDC
int_0803	11	150	VD
int_0804	11	151	VDC
int_0805	11	152	VD
int_0806	11	153	VD
int_0807	11	154	VDC
int_0808	11	155	VD
int_0809	11	156	VD
int_0810	11	157	VD
int_0811	11	158	VDC
int_0812	11	159	VD
int_0813	11	160	VD
int_0814	11	161	VDC
int_0815	11	162	VDC
int_0816	11	163	TH
int_0818	11	165	VD
int_0819	11	166	VDC
int_0820	11	167	VD
int_0821	11	168	VD
int_0822	11	169	VDC
int_0823	11	170	VDC
int_0824	11	171	VDC
int_0825	11	172	VD
int_0826	11	173	VD
int_0827	11	174	VD
int_0828	11	175	VD
int_0829	11	176	VD
int_0830	11	177	VD
int_0831	11	178	VDC
int_0832	11	179	VDC
int_0833	11	180	TH
int_0834	11	181	VDC
int_0836	11	183	VD
int_0838	11	185	VDC
int_0839	11	186	VDC
int_0840	11	187	VDC
int_0841	12	188	TH
int_0842	12	189	TH
int_0843	12	190	VD
int_0844	12	191	VD
int_0845	12	192	VD
int_0846	12	193	VDC
int_0847	12	194	VD
int_0848	12	195	VDC
int_0849	12	196	VD
int_0850	12	197	VDC
int_0851	12	198	VD
int_0852	12	199	TH
int_0853	12	200	VD
int_0854	12	201	VD
int_0855	12	202	VD
int_0856	12	203	VD
int_0857	12	204	VDC
int_0858	12	205	VD
int_0859	12	206	VD
int_0860	12	207	VDC
int_0861	12	208	VDC
int_0862	12	209	VD
int_0863	12	210	VD
int_0864	12	211	VDC
int_0865	12	212	VDC
int_0866	12	213	VDC
int_0867	12	214	VDC
int_0868	12	215	VDC
int_0869	12	216	VDC
int_0870	12	217	VDC
int_0871	12	218	VDC
int_0872	12	219	VD
int_0873	12	220	VDC
int_0874	12	221	VDC
int_0875	13	1	NB
int_0876	13	2	TH
int_0881	13	7	TH
int_0882	13	8	TH
int_0883	13	9	TH
int_0884	13	10	TH
int_0885	13	11	TH
int_0886	13	12	TH
int_0887	13	13	NB
int_0888	13	14	VDC
int_0889	13	15	VD
int_0891	13	17	NB
int_0892	13	18	TH
int_0893	13	19	TH
int_0894	13	20	VD
int_0895	13	21	TH
int_0896	13	22	TH
int_0897	13	23	TH
int_0898	13	24	TH
int_0899	13	25	TH
int_0900	13	26	TH
int_0901	13	27	VD
int_0902	13	28	VD
int_0904	13	30	TH
int_0905	13	31	NB
int_0906	13	32	VDC
int_0910	13	36	VD
int_0911	13	37	VDC
int_0913	13	39	VD
int_0914	13	40	VD
int_0915	13	41	VD
int_0916	13	42	VDC
int_0917	13	43	VDC
int_0918	13	44	NB
int_0920	13	46	TH
int_0921	13	47	NB
int_0922	13	48	VD
int_0925	13	51	VD
int_0926	13	52	TH
int_0927	13	53	TH
int_0928	13	54	TH
int_0929	13	55	VD
int_0930	13	56	VDC
int_0932	13	58	TH
int_0933	13	59	TH
int_0934	13	60	TH
int_0935	13	61	TH
int_0936	13	62	TH
int_0937	13	63	VD
int_0939	13	65	VD
int_0940	13	66	VD
int_0941	13	67	VD
int_0942	13	68	VD
int_0943	13	69	VD
int_0945	13	71	VD
int_0946	13	72	VDC
int_0947	13	73	VD
int_0949	13	75	TH
int_0950	13	76	VD
int_0951	13	77	TH
int_0952	13	78	TH
int_0953	13	79	TH
int_0955	13	81	VD
int_0956	13	82	TH
int_0958	13	84	TH
int_0960	13	87	TH
int_0961	13	88	VD
int_0962	13	89	TH
int_0965	13	92	VD
int_0966	13	93	VD
int_0967	13	94	VD
int_0974	13	101	VDC
int_0975	13	102	VDC
int_0977	13	104	VDC
int_0979	13	106	VD
int_0983	13	110	VD
int_0984	13	111	VD
int_0985	13	112	VD
int_0986	13	113	VD
int_0988	13	115	VD
int_0990	13	117	VD
int_0991	13	118	VD
int_0992	13	119	VDC
int_0995	13	122	VD
int_0996	13	123	VDC
int_0997	13	124	VD
int_0998	13	125	VD
int_1031	14	32	VD
int_1041	14	42	VD
int_1043	15	1	NB
int_1045	15	3	NB
int_1046	15	4	NB
int_1047	15	5	NB
int_1049	15	7	TH
int_1050	15	8	TH
int_1051	15	9	VD
int_1052	15	10	TH
int_1053	15	11	VD
int_1055	15	13	NB
int_1056	15	14	NB
int_1057	15	15	NB
int_1058	15	16	NB
int_1059	15	17	TH
int_1060	15	18	TH
int_1061	15	19	NB
int_1062	15	20	TH
int_1063	15	21	VD
int_1064	15	22	TH
int_1065	15	23	VDC
int_1067	15	25	TH
int_1068	15	26	TH
int_1069	15	27	TH
int_1071	15	29	VD
int_1072	15	30	TH
int_1073	15	31	TH
int_1074	15	32	TH
int_1075	15	33	TH
int_1076	15	34	VD
int_1077	15	35	TH
int_1078	15	36	TH
int_1079	15	37	VD
int_1080	15	38	TH
int_1081	15	39	TH
int_1082	15	40	TH
int_1083	15	41	TH
int_1084	15	42	VD
int_1085	15	43	TH
int_1086	15	44	TH
int_1087	15	45	TH
int_1088	15	46	TH
int_1089	15	47	TH
int_1090	15	48	VD
int_1091	15	49	TH
int_1092	15	50	TH
int_1093	15	51	TH
int_1094	15	52	VD
int_1095	15	53	TH
int_1096	15	54	TH
int_1097	15	55	VD
int_1098	15	56	TH
int_1099	15	57	VD
int_1100	15	58	VD
int_1110	15	68	TH
int_1112	15	70	VD
int_1113	15	71	TH
int_1115	16	2	VD
int_1129	17	1	TH
int_1130	17	2	TH
int_1131	17	3	TH
int_1132	17	4	TH
int_1133	17	5	TH
int_1134	17	6	VD
int_1135	17	7	VD
int_1136	17	8	VD
int_1137	17	9	TH
int_1138	17	10	VD
int_1139	17	11	VD
int_1140	17	12	TH
int_1141	17	13	VD
int_1142	17	14	VD
int_1143	17	15	VD
int_1144	17	16	TH
int_1145	17	17	TH
int_1146	17	18	TH
int_1147	17	19	TH
int_1148	17	20	TH
int_1149	17	21	TH
int_1150	17	22	TH
int_1151	17	23	TH
int_1152	17	24	TH
int_1153	17	25	TH
int_1154	17	26	TH
int_1155	17	27	VD
int_1156	17	28	TH
int_1157	17	29	TH
int_1158	17	30	TH
int_1159	17	31	TH
int_1160	17	32	TH
int_1161	17	33	TH
int_1162	17	34	VD
int_1163	17	35	TH
int_1164	17	36	VD
int_1165	17	37	VDC
int_1166	17	38	VD
int_1167	17	39	VD
int_1168	17	40	TH
int_1169	17	41	TH
int_1170	17	42	TH
int_1171	17	43	TH
int_1172	17	44	VD
int_1173	17	45	VD
int_1174	17	46	TH
int_1175	17	47	TH
int_1176	17	48	TH
int_1177	17	49	VD
int_1178	17	50	VD
int_1179	17	51	VD
int_1180	17	52	VDC
int_1182	17	54	VD
int_1189	17	61	TH
int_1190	17	62	TH
int_1191	17	63	TH
int_1192	18	1	TH
int_1193	18	2	TH
int_1194	18	3	TH
int_1195	18	4	TH
int_1196	18	5	TH
int_1197	18	6	VD
int_1198	18	7	NB
int_1199	18	8	TH
int_1200	18	9	TH
int_1201	18	10	NB
int_1202	18	11	NB
int_1203	18	12	TH
int_1204	18	13	TH
int_1205	18	14	VD
int_1206	18	15	TH
int_1208	18	17	TH
int_1209	18	18	TH
int_1210	18	19	NB
int_1211	18	20	NB
int_1212	18	1	TH
int_1213	18	2	NB
int_1214	18	3	NB
int_1215	18	4	TH
int_1216	18	5	TH
int_1217	18	6	TH
int_1218	18	7	TH
int_1219	18	8	VD
int_1220	18	9	TH
int_1221	18	10	VD
int_1222	18	11	TH
int_1223	18	12	VD
int_1224	18	13	VDC
int_1225	18	14	VD
int_1226	18	15	TH
int_1227	18	16	VD
int_1228	18	17	VD
int_1229	18	18	VD
int_1230	18	19	TH
int_1231	18	20	TH
int_1232	18	1	VD
int_1233	18	2	VD
int_1234	18	3	TH
int_1236	18	5	TH
int_1237	18	6	VD
int_1238	18	7	NB
int_1239	18	8	VD
int_1240	18	9	VD
int_1241	18	10	TH
int_1242	18	11	TH
int_1243	18	12	VD
int_1244	18	13	VD
int_1245	18	14	TH
int_1246	18	15	TH
int_1247	18	16	TH
int_1248	18	17	TH
int_1249	18	18	TH
int_1250	18	19	VD
int_1251	18	20	VD
int_1256	18	5	TH
int_1257	18	6	TH
int_1262	18	11	TH
int_1263	18	12	TH
int_1265	18	14	VD
int_1266	18	15	TH
int_1267	18	16	TH
int_1268	18	17	TH
int_1272	18	1	VD
int_1273	18	2	TH
int_1274	18	3	TH
int_1275	18	4	TH
int_1277	18	6	VD
int_1282	18	11	TH
int_1283	18	12	TH
int_1284	18	13	VD
int_1285	18	14	TH
int_1286	18	15	TH
int_1287	18	16	TH
int_1289	18	18	TH
int_1292	18	1	NB
int_1293	18	3	NB
int_1294	18	5	TH
int_1295	18	7	TH
int_1296	18	2	VD
int_1297	18	4	VD
int_1298	18	6	TH
int_1299	18	8	VD
int_1300	18	9	VD
int_1312	18	1	TH
int_1313	18	3	TH
int_1314	18	5	VD
int_1315	18	7	TH
int_1316	18	2	TH
int_1317	18	4	VD
int_1318	18	6	TH
int_1319	18	8	VD
int_1321	18	10	TH
int_1332	18	1	TH
int_1333	18	3	TH
int_1334	18	5	TH
int_1335	18	7	TH
int_1336	18	2	VD
int_1337	18	4	TH
int_1338	18	6	TH
int_1339	18	8	VD
int_1340	18	9	TH
int_1352	18	1	TH
int_1353	18	3	TH
int_1354	18	5	VDC
int_1355	18	7	VD
int_1356	18	2	TH
int_1357	18	4	NB
int_1358	18	6	TH
int_1359	18	8	VD
int_1360	18	9	TH
int_1372	18	1	VD
int_1373	18	3	TH
int_1374	18	5	TH
int_1375	18	7	TH
int_1376	18	2	TH
int_1377	18	4	VD
int_1378	18	6	TH
int_1379	18	8	TH
int_1380	18	9	TH
int_1392	18	1	VD
int_1393	18	3	TH
int_1394	18	5	TH
int_1395	18	2	VD
int_1396	18	4	TH
int_1397	18	6	TH
int_1398	18	8	VD
int_1399	18	9	TH
int_1411	18	1	TH
int_1412	18	2	TH
int_1413	18	3	TH
int_1414	18	4	TH
int_1415	18	5	TH
int_1417	18	7	TH
int_1418	18	8	TH
int_1419	18	9	TH
int_1420	18	10	VD
int_1421	18	11	VD
int_1422	18	12	VD
